,created_at,text,retweets,likes
23,2025-04-02 21:58:35+00:00,"* The Trump admin imposed 49% tariff on Cambodia.
#China #Cambodia #Trump #tariffs #StockMarket https://t.co/fxI2yOX6I1",0,0
24,2025-04-02 21:58:05+00:00,"Tariff and the monetary system, change it because it's not working for you.

@usfunds @stockmarket @euro",0,0
25,2025-04-02 21:57:07+00:00,"#MOON🔥

HOT HOT earn CASH with OUR crypto pump!🌐🌌🎉

🎁Welcome: https://t.co/oSRc7APw35

mqEcxtes @eLfirdausi1 @RODRIGOCOL57471 @tmt2605 @gh122195 @mmsultan06 @ElwynMoryP7 @AbhinayNamburi @Mam7838Shaxzod @Stockmarket_ar @NwoluChibu38547",0,0
26,2025-04-02 21:56:54+00:00,"عانت QuantumScape Corp (QS) من تراجع حاد في 2025 بسبب تحديات إنتاج البطاريات والنقص في التمويل. هل تعتقد أن الشركة ستتجاوز هذه الأزمة؟ شارك برأيك!

#QuantumScape #StockMarket #InvestmentNews #2025Trends https://t.co/biAoup4Ua3",0,0
27,2025-04-02 21:55:24+00:00,#tariffs #StockMarket #TrumpTariffs #Trump https://t.co/NsB3lSmt8P,0,0
28,2025-04-02 21:54:04+00:00,"Start Trading with SB MODEL.
_________
What are you waiting for? - Link in Bio 🔗
.
.
.
.
_________
#Trading #Forex #StockMarket #Investing #Crypto https://t.co/o8nIYTMdO8",0,0
29,2025-04-02 21:53:49+00:00,"RT @boris_beissner: #Stock #indices have literally plunged into the abyss following #Trump's announcement of a #TariffWar.

The US #StockMa…",6,0
30,2025-04-02 21:53:46+00:00,Holy #tariffs RIP the #StockMarket,0,0
31,2025-04-02 21:52:49+00:00,"Jeeeez the whole stock market immediately crashed in after hours 😰📉

#stocks #StockMarket #money #stockmarketcrash https://t.co/xcl6rY5n3B",0,0
32,2025-04-02 21:52:48+00:00,@MustStopMurad This guy was wrong about everything. Lmao this shit goes to 0 soon. #spx6900 #bitcoin #ethereum $btc $eth #altcoins #altseason #altcoin #crypto #stockmarketcrash #stockmarket #trump,0,0
33,2025-04-02 21:52:47+00:00,"The U.S. stock market just lost over $2 trillion in the last 20 minutes. 💥📉

Welcome to ""business as usual"" in 2025.

#StockMarket #WallStreet #Crash #Business #MarketMeltdown",0,1
34,2025-04-02 21:50:46+00:00,"Tarif country list 

#tariff 
#DonaldTrump 
#stockmarketcrash 
#StockMarket 
#stockmarketsindia https://t.co/6vxQsTS1zo",0,0
35,2025-04-02 21:50:37+00:00,"https://t.co/K9vpTW2i3u
#StockMarket #stockmarketcrash #StocksToWatch #TechnicalAnalysis #StockMarketNews",0,0
36,2025-04-02 21:50:23+00:00,@CollinRugg They will figure out loopholes by Monday. Expecting a bottom in the next 3 days or so for the #stockmarket $SPY,0,1
37,2025-04-02 21:49:44+00:00,"RT @CoinDiscoveryy: BREAKING: Trump Strikes Back with Tariffs! 🇺🇸⚡

President Trump rolls out reciprocal tariffs on key trade partners—Chin…",1,0
38,2025-04-02 21:49:37+00:00,RT @ParisSorel: #AdrienneAdams is the only Qualified #MayoralCandidate for #NewYorkers #NewYorkCity She already knows the Routine . Hell NO…,1,0
39,2025-04-02 21:48:13+00:00,"Take a look at our opinion commentary to the recent market movements.

Join our Discord community where we regularly share information on market movements and post daily analysis on stocks.

#trading #StockMarket #stocks #MarketUpdate #MarketInsights #Bitcoin #Bitcoin2025 $BTC https://t.co/8EEf2WzCg5",0,0
40,2025-04-02 21:48:07+00:00,@TrumpVVon A Drunk Stockmarket Cheater,0,0
41,2025-04-02 21:47:54+00:00,"Wanna make real money in the STOCK MARKET? 🇺🇸📈

- Think long-term, not get-rich-quick schemes.

- Reinvest those dividends...qlet ‘em stack.

- Focus on solid businesses, not just flashy stock prices.

- Be patient... real wealth takes time.

#StockMarket https://t.co/LZ9gcNVQiI",0,0
42,2025-04-02 21:47:43+00:00,"RT @boris_beissner: #Stock #indices have literally plunged into the abyss following #Trump's announcement of a #TariffWar.

The US #StockMa…",6,0
43,2025-04-02 21:47:26+00:00,"Trump’s plan is starting to work, and most people don’t know what’s coming next.😁 
#Economy #StockMarket #NewsUpdate #money #Tesla #NVIDIA ..... https://t.co/8Gkviqnmig https://t.co/oAWwLqjlnf",0,0
44,2025-04-02 21:47:18+00:00,"ट्रंप मीडिया के शेयरों में गिरावट: क्या सच में शेयर बेचे जा रहे हैं?

https://t.co/P3Twg0RYO5

#TrumpMedia #TruthSocial #StockMarket #DonaldTrump #FakeNews #FinanceNews #TMTG #Investing #PoliticalFinance",0,0
