,created_at,text,retweets,likes
46,2025-04-04 20:04:00+00:00,"💰 80% Gain on #RXRX!

RXRX went crazy, and we caught the move! 📈 Locked in 80% gains! Are you trading this one?
#StockMarket #TradingGains https://t.co/hcyko65FPS",0,0
47,2025-04-04 20:03:50+00:00,"NASDAQ 100 IS OFFICIALLY IN A BEAR MARKET 🐻 The NASDAQ 100 $QQQ just closed the day DOWN 📷 20% off its most recent all time highs the technical definition of a BEAR MARKET
#StockMarket #Crypto #Bitcoin #Investing #Trading #Cryptocurrency #Stocks #Ethereum #Finance #BTC #ETH https://t.co/5WHCKuQKol",0,1
48,2025-04-04 20:03:44+00:00,"Bought a little bit at the close, but it's admittedly only a very small percentage of the account.  #StockMarket",0,0
49,2025-04-04 20:03:38+00:00,"@TradingThomas3 At this point doesn’t matter if it’s bear or bull market. It’s all about how the govt handles tarries or else we’ll see new lows next week. 
#tariffs #Selloff #StockMarket",0,0
50,2025-04-04 20:03:36+00:00,"The Miracle of The Global Structure Network Limited: How Bold Leadership is Transforming Self-Care, Consumer Goods, and Consumer Health

https://t.co/X63xspq8Oh

#financialindependence #stockmarket #bhfyp #mutualfunds #wealthylife #wealthy #financialeducation #wealthymindset",0,0
51,2025-04-04 20:03:31+00:00,"While the #StockMarket crashes the orange azzhole is playing golf in Florida. The Dow down in the toilet. 2,231.07. Trump destroys everything he touches.",0,0
52,2025-04-04 20:03:30+00:00,"💎 $TWOH 💎 $TWOH 💎 $TWOH 
                   + 68% Today 💥B
              “What A Day and….. 
       This Is Just The Beginning”
($4.00 Minimum SP For Nasdaq Entry)

#LONG #NYSE #stockmarketcrash #NASDAQ #StockMarket #UpList #SPAC #Mergers #Acquistions #Trump #StockToBuy #AI https://t.co/U0ZNNArj2d",1,3
53,2025-04-04 20:03:25+00:00,"When you look at google trends you pretty quickly realize that most people are just hyped about the Warriors Lakers game…shits not that deep 

#tariffs #Lakers #Warriors #trump #StockMarket #Nasdaq #RussellBrand #LiberationDay #Libs https://t.co/ZDXyOoz7Ts",0,0
54,2025-04-04 20:02:49+00:00,"💎 $TWOH 💎 $TWOH 💎 $TWOH 
                   + 67% Today 💥B

              “What A Day and….. 
       This Is Just The Beginning”
($4.00 Minimum SP For Nasdaq Entry)

#LONG #NYSE #stockmarketcrash #NASDAQ #StockMarket #UpList #SPAC #Mergers #Acquistions #Trump #StockToBuy #AI",0,1
55,2025-04-04 20:02:47+00:00,"Can safely say that this is at least a correction. Since the Nasdaq is down in bear country, the other two major indices will soon follow.

#Dow #stockmarket",0,0
56,2025-04-04 20:02:45+00:00,"🚨 Is Trump’s trade war pushing the U.S. toward economic chaos? Tariffs, global backlash &amp; rising costs—what's next for America? Find out the real impact!

🔎 Read more: https://t.co/FywTuvn37L

#Trump #TradeWar #Economy #StockMarket #Politics #Tariffs #Finance #GlobalTrade",0,2
57,2025-04-04 20:02:33+00:00,"Thanks, Trump!

SO MUCH WINNING!

#tariffs #StockMarket #stockmarketcrash https://t.co/jx9EmOqGfu",0,1
58,2025-04-04 20:02:26+00:00,"Correction is inevitable ..

#BTC 
#StockMarket",0,2
59,2025-04-04 20:02:14+00:00,@purplerain116 I own few shares of GME however #AMC remains the imperial flower of the entire #StockMarket I own more shares of AMC and will continue holding until I get to the moon,0,1
